user_id,label,score,命中(超阈值),top3可疑位置(事件序号)
0x0a4e070b9601d84e966aec7a0d35cb499ee5ab2a,0,-0.7874,0,3 1 5
0x09181c0657e7e9d0fa615dabb4db9323d67a018a,0,0.2078,0,76 97 59
0x75da048d5ef49a7010ec02274e3cc3c358494748,0,-0.7662,0,11 8 6
0x223fbcdc59e6c21a072263a960e9b0d077c59bdc,0,-0.7605,0,25 10 13
0xc153f847d9277669151c2bc6b8fb6daa5f5a045b,0,0.5126,0,19 34 14
0xe0646a421a19d5e6eee9e0ad0e1da1cc7323c960,0,-0.7666,0,12 11 10
0xbb28667d0deb69d39adf659e9c3deebaa5152800,0,-0.7518,0,4 7 12
0xbd2c44b376b4209e81812cce56a09631b4337e82,0,-0.5993,0,9 8 20
0xfaecd0c610542c5614a3cb5e7a57a2f6218f7954,0,-0.7718,0,16 21 23
0x603a75e3023e61bc29826c36fe0df3f5a6a87127,0,-0.7284,0,7 10 11
0x246050f86cdd5b01d6b9250f6fe3d278c20d73df,0,0.5131,0,4 2 0
0x35d10cadd73ff61a022d21976fb50e0031b831bf,0,-0.7936,0,25 30 1
0xb499a2609ffd1c813047b84ff2de849c083ac5d3,0,-0.7311,0,2 7 8
0xfc7d75b3f49c2655554d1f25317482dc649baf56,0,-0.5610,0,4 16 5
0x6db7424be3298b0081af4e698f828c57b68f4a2b,0,0.2678,0,5 0 6
0xb0ae48bfb603c6304c3cf776a7e973ae88f904ed,0,-0.7661,0,6 8 9
0x1b2af64584054f947c3ffccc12a41652369f7834,0,0.0197,0,3 9 7
0x82826cd0c18b148e591455fd8f6d47453f63442f,0,0.5896,0,9 2 11
0xd9207545b2f5aa1e9d49b950bb66f9eb098e027e,0,-0.4811,0,5 4 2
0xa636521869771ff8c6a719471ce636aebb0ca58a,0,1.0168,0,4 1 18
0xb2021a91d087e36d8c165b4b87a45fae40e29d39,0,0.2248,0,17 5 1
0x5d268508179db4da44de9057792758bff280e3ed,0,0.8408,0,11 0 19
0x96c3f4dfa70baf5404e5257c3a1ed861c249560e,0,-0.7923,0,34 17 32
0xaeec6d51dea3111e298254f61d31363126b59bd6,0,-0.7569,0,15 13 1
0x25ad159a960fe0f6147b7c620d1ff77af26fa319,0,1.1314,0,11 8 42
0x312513eb291e7ddb5fb338ed122a307ccaed679f,0,-0.4363,0,3 2 1
0x9ab479431a80a74e0e83ecab887a84a7b18b6d8a,0,-0.7594,0,25 3 2
0x40ce5de038a68811edf4db5c174a845349870fc3,0,-0.1946,0,9 0 2
0x7ef51aa414a6ad55fdc689e9a5e3e3f241079daa,0,0.7049,0,4 11 5
0x0b3e515cb8b318120c5a126679eb945f2bb2ddea,0,1.0236,0,3 11 2
0xadc46d280b57549324edd54f78acdf7579cb031c,0,-0.0168,0,5 6 3
0xac26e3bfcc106f5e7afbe76f4b56c1e82e3cdd06,0,-0.6871,0,8 6 7
0x93d1cae950728efeadbafe21d6963f0db93ba96e,0,1.1731,0,14 6 13
0xd1413936f8af7773b076c8916fece9bebd1968ec,0,0.7678,0,10 3 6
0x2f9f5dd44922837a01f6459e91677db748cf9bfc,0,-0.5043,0,2 1 3
0x51c1375a90b01a43ebf73ad4db828421aefd03cd,0,-0.7309,0,8 13 11
0x967895b9b7bfc6f2635e96948585266327a7109c,0,-0.0678,0,15 14 11
0xe831f9061b447be7e9ba7db7814c660916135f46,0,-0.3826,0,0 1 2
0x06129490f7fd125d331c49931d6a765b6223e4ee,0,-0.7647,0,3 8 9
0xec60183b95b1f0d1b499ec43c3ded3b3fb01acc3,0,0.1973,0,2 1 0
0x8d949a57f4dc056588a5e68bded00de523413ed3,0,0.6333,0,3 6 0
0xc1f417ac76631ee9ca1d0ffc601d7443cc1023d9,0,0.2401,0,2 1 7
0x0a793973e0895cab02a8ab16e17b97d52ae62c72,0,0.1269,0,2 0 1
0xd6543826dec51a6d7a822027f2e8e194fb8a700d,0,0.5272,0,12 9 4
0x604eb5d4126e3318ec27721bd5059307684f5c89,0,0.1992,0,5 3 2
0xc8e6bc01dba63fb2278bde06ad36d96632692538,0,-0.0807,0,24 39 58
0x0b25a97a3aceeded13db1e75da11ec95eaf8c98e,0,-0.4948,0,3 5 6
0xa89283f25c1428c6cb8021694f00735007e797b2,0,-0.6668,0,19 17 34
0x568d2d116e47f8b8afd9b30f1b93463e6fb0d9c3,0,0.6710,0,16 8 26
0x510709d560f386d25f8eb7f525cf8bdde98a8890,0,-0.7770,0,1 3 8
0x91c6854a5b627e51789ab2bc3d77e4337f72b8d4,0,-0.8215,0,4 8 1
0x8da19702ec6123441899fb2753bd0073945e0c03,0,-0.7766,0,8 9 5
0xfe81ebee03b9761db5834d298a4c95d2973408fd,0,-0.7315,0,4 10 8
0x5bbcec93637550e97d68d36a55060d4b9bb74097,0,1.0659,0,0 6 1
0x337c72ded937aed2dfc0d8c5d1e0cb6a006af34b,0,-0.7935,0,8 1 9
0x5a7cec50c03c6619a9fd47107e119d677291793e,0,0.4789,0,10 7 4
0x04413b07323963ae1af04d0c99be872bc4554471,0,0.3471,0,3 8 2
0x45857089358bc54891067319e8c0b60a5a552bfe,0,0.0790,0,8 2 1
0xc489eab7b17f5c38ed481856badcd4fc354a6e50,0,-0.8049,0,5 9 7
0x1ec2dee0c8a5ec072cf8cdbf90edee1d8492f3e1,0,-0.2511,0,15 4 0
0x0dca356c1b4ef0db650bc37ee28e84823ee0dfa1,0,-0.7528,0,14 15 1
0xf0a7a3aef8efe2bbc396287ddaee76a4efcd2ebc,0,-0.3797,0,12 14 13
0x7e2e982c28a73eb202254d5e0f0ba0a2408e8665,0,0.1554,0,133 159 145
0xa43d494251fc0b2f3f86df775df1e7ca1da25b25,0,-0.0265,0,8 12 0
0x797f802edb5dd7ef162d1c0c22987f3fbc45b0ce,0,0.7277,0,6 3 9
0x6b5120d8d1885c900dbdf76898f6ba01d197b2d3,0,-0.7762,0,16 2 12
0xc1c7dcbaaf3f5dbe908c0cf4e1fdf12b34b25c1f,0,0.7426,0,1 7 5
0xe4904748c747aac8b97f80397db2f7fea8ce942a,0,-0.5890,0,5 4 6
0x85969ecebdf416a10d8939ae67b237ab93e42f49,0,-0.7657,0,6 9 12
0x6c5a2d2b251b0b99a395e7921aef1d23e30281fb,0,-0.2021,0,18 22 16
0x589a57f1c829a5449822d646d7f239ef6904e2f0,0,-0.4738,0,7 9 2
0x29f0899f3ed81fc3a66b981428460b2d067a8e5a,0,0.9402,0,1 8 10
0x760f539e9bae2022648a3f5b640d5199b48ca42a,0,-0.1661,0,1 10 15
0x1e52c1e5226d092a94b464cfc58a13301a173eac,0,-0.3449,0,5 4 1
0x575a715531b286ed4f958b64405dd92528ed6aa1,0,-0.7656,0,5 1 9
0x4d5008add8eac12ab6182e7de8a8ec29a792ba1a,0,-0.6699,0,9 3 8
0x72aa408393154d34fc789d03d22c9feb5e9fe32b,0,0.8623,0,184 31 29
0x57681ff8ab9eadb753d17fa17414661631638d48,0,-0.5880,0,12 9 4
0x4e99994c94e9687abd35588808213b5ff0cc1b2c,0,0.9602,0,14 11 5
0x4534ea0b2b09f1a7b550a8c60626f9da29ad5a15,0,1.0503,0,1 7 10
